libellé;Opération;Place;Date;Qté;Prix d'éxé;Montant brut;Courtage/Prélèvement;Montant net;Devise;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;20/10/2022;10.0;22.15;-221.5;-1.1;-222.6;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;20/10/2022;15.0;30.26;-453.9;-1.95;-455.85;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;26/09/2022;1.0;20.571;-20.57;-0.1;-20.67;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;26/09/2022;4.0;20.57;-82.28;-0.41;-82.69;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;26/09/2022;6.0;21.62;-129.72;-0.64;-130.36;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;26/09/2022;12.0;30.514;-366.17;-1.83;-368.0;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;18/08/2022;1.0;22.106;-22.11;-0.11;-22.22;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;18/08/2022;7.0;22.112;-154.78;-0.77;-155.55;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;18/08/2022;10.0;24.505;-245.05;-1.22;-246.27;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;18/08/2022;10.0;33.768;-337.68;-1.68;-339.36;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;21/07/2022;5.0;21.488;-107.44;-0.53;-107.97;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;21/07/2022;8.0;23.37;-186.96;-0.93;-187.89;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;21/07/2022;9.0;31.103;-279.93;-1.39;-281.32;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;14/06/2022;1.0;21.274;-21.27;-0.1;-21.37;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;14/06/2022;6.0;22.675;-136.05;-0.68;-136.73;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;14/06/2022;8.0;28.863;-230.9;-1.15;-232.05;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;19/05/2022;8.0;21.047;-168.38;-0.84;-169.22;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;19/05/2022;13.0;23.59;-306.67;-1.53;-308.2;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;19/05/2022;17.0;29.598;-503.17;-2.51;-505.68;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;15/03/2022;1.0;20.309;-20.31;-0.1;-20.41;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;15/03/2022;9.0;20.309;-182.78;-0.91;-183.69;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;15/03/2022;13.0;23.525;-305.83;-1.52;-307.35;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;15/03/2022;16.0;30.322;-485.15;-1.95;-487.1;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;17/02/2022;13.0;23.905;-310.77;-1.55;-312.32;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;17/02/2022;15.0;25.375;-380.63;-1.9;-382.53;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;17/02/2022;22.0;31.275;-688.05;-3.44;-691.49;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;09/02/2022;8.0;23.671;-189.37;-0.94;-190.31;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;09/02/2022;8.0;25.59;-204.72;-1.02;-205.74;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;09/02/2022;11.0;31.71;-348.81;-1.74;-350.55;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;19/01/2022;1.0;23.899;-23.9;-0.11;-24.01;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;19/01/2022;9.0;23.896;-215.06;-1.07;-216.13;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;19/01/2022;12.0;26.06;-312.72;-1.56;-314.28;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;19/01/2022;20.0;32.2576;-645.15;-3.22;-648.37;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;30/11/2021;1.0;24.79;-24.79;-0.12;-24.91;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;30/11/2021;9.0;24.79;-223.11;-1.11;-224.22;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;19/11/2021;8.0;24.268;-194.14;-0.97;-195.11;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;19/11/2021;11.0;33.0468;-363.51;-1.81;-365.32;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;15/10/2021;10.0;23.961;-239.61;-1.19;-240.8;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;15/10/2021;13.0;25.08;-326.04;-1.63;-327.67;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;15/10/2021;14.0;30.46;-426.44;-1.95;-428.39;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;21/09/2021;8.0;23.039;-184.31;-0.92;-185.23;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;21/09/2021;12.0;24.51;-294.12;-1.47;-295.59;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;21/09/2021;1.0;29.69;-29.69;-0.14;-29.83;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;21/09/2021;13.0;29.69;-385.97;-1.92;-387.89;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;16/07/2021;1.0;24.504;-24.5;-0.12;-24.62;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;16/07/2021;8.0;24.504;-196.03;-0.98;-197.01;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;16/07/2021;12.0;24.29;-291.48;-1.45;-292.93;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;16/07/2021;18.0;29.239;-526.3;-2.63;-528.93;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;22/06/2021;6.0;24.355;-146.13;-0.73;-146.86;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;22/06/2021;11.0;24.315;-267.47;-1.33;-268.8;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;22/06/2021;15.0;28.113;-421.7;-1.95;-423.65;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;19/05/2021;4.0;23.13;-92.52;-0.46;-92.98;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;19/05/2021;6.0;23.185;-139.11;-0.7;-139.81;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;19/05/2021;9.0;26.446;-238.01;-1.19;-239.2;EUR;
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF - EUR;Achat Comptant;Euronext Paris;16/04/2021;4.0;24.16;-96.64;0.0;-96.64;EUR;
AMUNDI ETF PEA MSCI EUROPE UCITS ETF - EUR;Achat Comptant;Euronext Paris;16/04/2021;6.0;23.33;-139.98;0.0;-139.98;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;16/04/2021;6.0;27.492;-164.95;0.0;-164.95;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;26/03/2021;2.0;26.25;-52.5;0.0;-52.5;EUR;
AMUNDI ETF PEA S&P 500 UCITS ETF - EUR;Achat Comptant;Euronext Paris;11/03/2021;1.0;25.853;-25.85;0.0;-25.85;EUR;
